       (NOTAS)  Per�odo: 01/01/2026 at� 16/03/2026   Gera��o: 16/03/2026 10:56:26
 
Cli_For;Canc;Filial;Comp;Numero;Inclusao;Emissao;Ent/Saida;OP Fiscal;C�digo;Cliente/Fornecedor;CNPJ;CPF;UF;Total Bruto;Total Desconto;Frete;Total Despesa;Total Nota;BC Icms;Valor Icms;BC ST;Valor ST;BC Ipi;Valor Ipi;Valor IPI Devolvido;BC Pis/Cofins;Valor Pis;Valor Cofins;Valor FCP;BC FCP;Valor FCP ST;BC FCP ST;BC FCP ST Retido;Valor ST Retido;BC ST Retido;Valor FCP ST Retido;BC ICMS Efetivo;Valor ICMS Efetivo;Valor ICMS Substituto;Chave NF-e;Chave CTE;Num Documento
C;N;00;001;001063;23/02/2026;23/02/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;15.963,41000;1.915,61000;,00000;,00000;14.047,80000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010631312803461;;
C;N;00;001;001064;23/02/2026;23/02/2026;30/12/1899;S;000082;ASSOCIACAO OBRAS SOCIAIS IRMA DULCE;15178551/0001-17;00000000000;BA;4.895,00000;,00000;,00000;,00000;4.895,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010641984648002;;
C;N;00;001;001065;23/02/2026;23/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;3.954,54000;474,54000;,00000;,00000;3.480,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010651676093490;;
C;N;00;001;001066;24/02/2026;24/02/2026;30/12/1899;S;000045;HOSPITAL DO TRICENTENARIO;10583920/0008-00;00000000000;PE;14.238,00000;,00000;,00000;,00000;14.238,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010661435788314;;
C;N;00;001;001067;24/02/2026;24/02/2026;30/12/1899;S;000108;CLINICA DE ONCOLOGIA E MASTOLOGIA;10730521/0001-58;00000000000;RN;4.613,10000;,00000;,00000;,00000;4.613,10000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010671205695290;;
F;N;00;010;280283;25/02/2026;23/02/2026;25/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;17.140,00000;,00000;,00000;,00000;17.140,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;35260261190096000869550010028028361534434020;;2802836
F;N;00;010;252439;25/02/2026;25/02/2026;25/02/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;16.748,00000;,00000;,00000;,00000;16.748,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001068;25/02/2026;25/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;9.218,20000;1.106,18000;,00000;,00000;8.112,02000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010681961356691;;
C;N;00;001;001069;25/02/2026;25/02/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;5.008,60000;,00000;,00000;,00000;5.008,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010691092949156;;
C;N;00;001;001070;25/02/2026;25/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;94.353,71000;11.322,44000;,00000;,00000;83.031,27000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010701212000060;;
C;N;00;001;001071;25/02/2026;25/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;32.727,27000;3.927,27000;,00000;,00000;28.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010711157879341;;
C;N;00;001;001072;25/02/2026;25/02/2026;30/12/1899;S;000045;HOSPITAL DO TRICENTENARIO;10583920/0008-00;00000000000;PE;14.256,00000;,00000;,00000;,00000;14.256,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010721933286873;;
C;N;00;001;001073;25/02/2026;25/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;5.454,54000;654,54000;,00000;,00000;4.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010731356213593;;
F;N;00;010;280371;26/02/2026;24/02/2026;26/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;6.720,00000;,00000;,00000;,00000;6.720,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;35260261190096000869550010028037141834258483;;2803714
F;N;00;010;252539;26/02/2026;26/02/2026;26/02/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;2.862,00000;,00000;,00000;,00000;2.862,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
F;N;00;010;236035;26/02/2026;26/02/2026;26/02/2026;E;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;9.600,00000;,00000;,00000;,00000;9.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001074;26/02/2026;26/02/2026;30/12/1899;S;000054;HOSPITAL SAO VICENTE DE PAULO;09124165/0001-40;00000000000;PB;2.580,00000;,00000;,00000;,00000;2.580,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010741968069377;;
C;N;00;001;001075;26/02/2026;26/02/2026;30/12/1899;S;000609;UNIMED JOAO PESSOA COOPERATIVA DO TRABAL;08680639/0006-81;00000000000;PB;4.022,80000;,00000;,00000;,00000;4.022,80000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010751423356707;;
C;N;00;001;001076;26/02/2026;26/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;16.022,72000;1.922,72000;,00000;,00000;14.100,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010761299684709;;
F;N;00;010;280424;27/02/2026;25/02/2026;27/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;30.000,00000;,00000;,00000;,00000;30.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2804248
C;N;00;001;001077;27/02/2026;27/02/2026;30/12/1899;S;000148;NATAL HOSPITAL CENTER S.A.;02109397/0001-80;00000000000;RN;2.785,50000;,00000;,00000;,00000;2.785,50000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010771480580291;;
C;N;00;001;001078;27/02/2026;27/02/2026;30/12/1899;S;000194;INSTITUTO DE ONCOLOGIA DO NORDESTE IONE;10988301/0009-86;00000000000;PE;6.200,00000;,00000;,00000;,00000;6.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010781804033174;;
C;N;00;001;001079;27/02/2026;27/02/2026;30/12/1899;S;000045;HOSPITAL DO TRICENTENARIO;10583920/0008-00;00000000000;PE;27.324,00000;,00000;,00000;,00000;27.324,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010791716827702;;
C;N;00;001;001080;27/02/2026;27/02/2026;30/12/1899;S;000679;LIGA MOSSOROENSE DE ESTUDOS E COMBATE;04026039/0002-10;00000000000;RN;7.392,00000;,00000;,00000;,00000;7.392,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010801152796048;;
F;N;00;010;280410;02/03/2026;25/02/2026;02/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;45.780,00000;,00000;,00000;,00000;45.780,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2804105
F;N;00;010;280431;02/03/2026;25/02/2026;02/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;8.260,00000;,00000;,00000;,00000;8.260,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2804316
F;N;00;010;280434;02/03/2026;25/02/2026;02/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;94.120,00000;,00000;,00000;,00000;94.120,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2804347
F;N;00;010;236390;02/03/2026;25/02/2026;02/03/2026;E;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;24.000,00000;,00000;,00000;,00000;24.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001081;02/03/2026;02/03/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;34.090,91000;4.090,91000;,00000;,00000;30.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010811239207126;;
C;N;00;001;001082;02/03/2026;02/03/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;93.200,00000;,00000;,00000;,00000;93.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010821920441735;;
C;N;00;001;001083;02/03/2026;02/03/2026;30/12/1899;S;000679;LIGA MOSSOROENSE DE ESTUDOS E COMBATE;04026039/0002-10;00000000000;RN;15.909,09000;1.909,09000;,00000;,00000;14.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010831410927323;;
C;N;00;001;001085;02/03/2026;02/03/2026;30/12/1899;S;000654;FUNDACAO PEDRO AMERICO;06101061/0006-36;00000000000;PB;10.530,00000;,00000;,00000;,00000;10.530,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010851827226457;;
C;N;00;001;001086;02/03/2026;02/03/2026;30/12/1899;S;000679;LIGA MOSSOROENSE DE ESTUDOS E COMBATE;04026039/0002-10;00000000000;RN;19.680,00000;,00000;,00000;,00000;19.680,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010861559204817;;
F;N;00;010;252866;03/03/2026;03/03/2026;03/03/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;10.600,00000;,00000;,00000;,00000;10.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001087;03/03/2026;03/03/2026;30/12/1899;S;000038;FUND ASSIST DA PARAIBA - FAP;08841421/0001-57;00000000000;PB;14.400,00000;,00000;,00000;,00000;14.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010871256123176;;
C;N;00;001;001088;03/03/2026;03/03/2026;30/12/1899;S;000666;FUNDACAO PIO XII;49150352/0041-00;00000000000;TO;9.034,10000;1.084,10000;,00000;,00000;7.950,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010881912654320;;
C;N;00;001;001089;03/03/2026;03/03/2026;30/12/1899;S;000666;FUNDACAO PIO XII;49150352/0041-00;00000000000;TO;19.943,18000;2.393,18000;,00000;,00000;17.550,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010891118060122;;
C;N;00;001;001090;04/03/2026;04/03/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;5.023,00000;,00000;,00000;,00000;5.023,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010901962938907;;
F;N;00;010;280475;05/03/2026;26/02/2026;05/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;41.900,00000;,00000;,00000;,00000;41.900,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2804755
F;N;00;010;009477;05/03/2026;05/03/2026;05/03/2026;E;000085;BIONOVIS S.A. - COMPANHIA BRASILEIRA DE;12320079/0001-17;;SP;21.000,00000;,00000;,00000;,00000;21.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001091;05/03/2026;05/03/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;16.383,60000;,00000;,00000;,00000;16.383,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010911341776220;;
C;N;00;001;001092;06/03/2026;06/03/2026;30/12/1899;S;000038;FUND ASSIST DA PARAIBA - FAP;08841421/0001-57;00000000000;PB;2.680,00000;,00000;,00000;,00000;2.680,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010921141199200;;
F;N;00;010;280605;09/03/2026;03/03/2026;09/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;25.000,00000;,00000;,00000;,00000;25.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2806050
F;N;00;010;280650;09/03/2026;04/03/2026;09/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;18.000,00000;,00000;,00000;,00000;18.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2806508
F;N;00;060;280609;09/03/2026;03/03/2026;09/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;7.587,10000;531,10000;,00000;,00000;7.056,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2806096
F;N;00;010;253316;09/03/2026;09/03/2026;09/03/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;3.021,00000;,00000;,00000;,00000;3.021,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001093;09/03/2026;09/03/2026;30/12/1899;S;000683;INSTITUTO RIO BRANCO;28215273/0001-72;00000000000;PE;4.147,00000;,00000;,00000;,00000;4.147,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010931200800846;;
C;N;00;001;001094;09/03/2026;09/03/2026;30/12/1899;S;000052;INST CONQUISTENSE DE ONCOLOGIA LTDA;03069914/0001-05;00000000000;BA;8.395,46000;1.007,46000;,00000;,00000;7.388,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010941485887039;;
C;N;00;001;001095;09/03/2026;09/03/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;2.394,00000;,00000;,00000;,00000;2.394,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010951287362573;;
C;N;00;001;001096;09/03/2026;09/03/2026;30/12/1899;S;000194;INSTITUTO DE ONCOLOGIA DO NORDESTE IONE;10988301/0009-86;00000000000;PE;6.500,00000;,00000;,00000;,00000;6.500,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010961693267832;;
C;N;00;001;001097;09/03/2026;09/03/2026;30/12/1899;S;000136;SUPORTE NUTRICIONAL E QUIMIOTERAPIA;01873957/0003-77;00000000000;CE;5.803,42000;696,42000;,00000;,00000;5.107,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010971723223614;;
C;N;00;001;001098;10/03/2026;10/03/2026;10/03/2026;S;000697;HOSPITAL SANTA TERESINHA LTDA;09192486/0001-81;00000000000;PE;230,00000;,00000;,00000;,00000;230,00000;230,00000;47,15000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010981498657001;;
C;N;00;001;001099;10/03/2026;10/03/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;5.009,60000;,00000;,00000;,00000;5.009,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000010991673136211;;
F;N;00;010;028078;11/03/2026;09/03/2026;11/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;20.400,00000;,00000;,00000;,00000;20.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2807888
F;N;00;010;280545;11/03/2026;28/02/2026;11/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;54.542,31000;3.302,34000;,00000;,00000;51.240,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2805450
F;N;00;010;280546;11/03/2026;28/02/2026;11/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;23.238,91000;1.368,91000;,00000;,00000;21.870,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2805469
F;N;00;010;280547;11/03/2026;28/02/2026;11/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;23.238,91000;1.368,91000;,00000;,00000;21.870,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2805470
F;N;00;010;280788;11/03/2026;09/03/2026;11/03/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;11.600,00000;,00000;,00000;,00000;11.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2807887
F;N;00;010;019237;11/03/2026;06/03/2026;11/03/2026;E;000029;ACCORD FARMACEUTICA LTDA;64171697/0004-99;;SP;11.200,00000;,00000;,00000;,00000;11.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001100;11/03/2026;11/03/2026;30/12/1899;S;000158;ONCOCENTER CEARA SERVS MED E HOSP LTDA;36441813/0001-64;00000000000;CE;4.727,27000;567,27000;,00000;,00000;4.160,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011001480262552;;
C;N;00;001;001101;11/03/2026;11/03/2026;30/12/1899;S;000174;SANTA CASA DE MISERICORDIA DE ITABUNA;14349740/0001-42;00000000000;BA;18.484,00000;,00000;,00000;,00000;18.484,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011011200500528;;
F;N;00;010;238095;12/03/2026;12/03/2026;12/03/2026;E;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;4.800,00000;,00000;,00000;,00000;4.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001102;12/03/2026;12/03/2026;30/12/1899;S;000084;HOSPITAL PERPETUO SOCORRO LTDA;10248599/0001-30;00000000000;PE;3.480,00000;,00000;,00000;,00000;3.480,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011021466102785;;
C;N;00;001;001103;12/03/2026;12/03/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;4.436,00000;,00000;,00000;,00000;4.436,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011031726548025;;
C;N;00;001;001104;13/03/2026;13/03/2026;30/12/1899;S;000136;SUPORTE NUTRICIONAL E QUIMIOTERAPIA;01873957/0003-77;00000000000;CE;4.090,91000;490,91000;,00000;,00000;3.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011041149097280;;
C;N;00;001;001105;13/03/2026;13/03/2026;30/12/1899;S;000271;HOSPITAL SAMUR;16205262/0001-22;00000000000;BA;5.310,00000;,00000;,00000;,00000;5.310,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260329094796000170550010000011051543645883;;
 
 TOTAIS:
Total Bruto;3.107.258,86000
Total Desconto;68.881,96000
Frete;240,00000
Total Despesa;,00000
Total Nota;3.038.616,96000
BC Icms;25.568,00000
Valor Icms;3.368,69000
BC ST;,00000
Valor ST;,00000
BC Ipi;,00000
Valor Ipi;,00000
Valor IPI Devolvido;,00000
BC Pis/Cofins;,00000
Valor Pis;,00000
Valor Cofins;,00000
Valor FCP;,00000
BC FCP;,00000
Valor FCP ST;,00000
BC FCP ST;,00000
BC FCP ST Retido;,00000
Valor ST Retido;,00000
BC ST Retido;,00000
Valor FCP ST Retido;,00000
BC ICMS Efetivo;,00000
Valor ICMS Efetivo;,00000
Valor ICMS Substituto;,00000
